 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6580] [2334199476 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6582] [232732544 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:47200
INFO[6582] [232732544 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6582] [232732544 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6582] [3225766234 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:47208
INFO[6582] [3225766234 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6582] [3225766234 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6584] [4186504440 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:47232
INFO[6584] [1478088266 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:47224
INFO[6584] [4186504440 0ms] inbound/mixed[mixed-in]: [] inbound connection to 104.18.32.115:443
INFO[6584] [1478088266 0ms] inbound/mixed[mixed-in]: [] inbound connection to 172.64.155.141:443
INFO[6584] [4186504440 5ms] outbound/shadowsocks[proxy]: outbound connection to 104.18.32.115:443
INFO[6584] [1478088266 10ms] outbound/shadowsocks[proxy]: outbound connection to 172.64.155.141:443
INFO[6585] [2613997905 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52894
INFO[6585] [2613997905 0ms] inbound/mixed[mixed-in]: [] inbound connection to 104.18.32.115:443
INFO[6585] [2613997905 5ms] outbound/shadowsocks[proxy]: outbound connection to 104.18.32.115:443
INFO[6586] [2224582097 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52910
INFO[6586] [2224582097 0ms] inbound/mixed[mixed-in]: [] inbound connection to 172.64.155.141:443
INFO[6586] [2224582097 5ms] outbound/shadowsocks[proxy]: outbound connection to 172.64.155.141:443
INFO[6587] [1549657285 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52914
INFO[6587] [1549657285 0ms] inbound/mixed[mixed-in]: [] inbound connection to 172.64.155.141:443
INFO[6587] [1549657285 5ms] outbound/shadowsocks[proxy]: outbound connection to 172.64.155.141:443
INFO[6589] [1429698251 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52920
INFO[6589] [1429698251 0ms] inbound/mixed[mixed-in]: [] inbound connection to 104.18.32.115:443
INFO[6589] [1429698251 1ms] outbound/shadowsocks[proxy]: outbound connection to 104.18.32.115:443
INFO[6589] [2577626179 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52922
INFO[6589] [2577626179 0ms] inbound/mixed[mixed-in]: [] inbound connection to 34.107.243.93:443
INFO[6589] [2577626179 5ms] outbound/shadowsocks[proxy]: outbound connection to 34.107.243.93:443
INFO[6590] [2585320303 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52926
INFO[6590] [2585320303 0ms] inbound/mixed[mixed-in]: [] inbound connection to 34.107.243.93:443
INFO[6590] [2585320303 5ms] outbound/shadowsocks[proxy]: outbound connection to 34.107.243.93:443
INFO[6594] [1217536234 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52936
INFO[6594] [1217536234 0ms] inbound/mixed[mixed-in]: inbound connection to images.unsplash.com:443
INFO[6594] [1217536234 2ms] outbound/shadowsocks[proxy]: outbound connection to images.unsplash.com:443
INFO[6594] [196954071 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:52944
INFO[6594] [196954071 0ms] inbound/mixed[mixed-in]: inbound connection to quotes.rest:443
INFO[6594] [196954071 3ms] outbound/shadowsocks[proxy]: outbound connection to quotes.rest:443
INFO[6596] [354534281 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:41340
INFO[6596] [354534281 0ms] inbound/mixed[mixed-in]: inbound connection to o113629.ingest.sentry.io:443
